airport,text,x_min,y_min,x_max,y_max,page_height,page_width,is_known_runway
21d,932,350.2679,121.9100,362.0386,128.1584,594.0000,387.3600,0
21d,ELEV,349.0967,129.4038,362.5291,135.6523,594.0000,387.3600,0
21d,0.4%,178.9316,230.4326,192.3369,244.8724,594.0000,387.3600,0
21d,UP,188.4004,242.0250,198.7972,252.7814,594.0000,387.3600,0
21d,92°51.0'W,301.5652,538.4410,330.0508,544.6895,594.0000,387.3600,0
21d,92°51.5'W,115.3646,538.4410,143.8502,544.6895,594.0000,387.3600,0
21d,44°59.5'N,331.7699,84.6708,360.2544,90.9193,594.0000,387.3600,0
21d,45°00.0'N,333.5189,347.3975,362.0034,353.6460,594.0000,387.3600,0
21d,(21D),349.3100,558.4563,373.3260,567.1073,594.0000,387.3600,0
21d,ST,295.2681,549.6516,303.6125,557.3422,594.0000,387.3600,0
21d,"PAUL,",305.4001,549.6516,325.8572,557.3422,594.0000,387.3600,0
21d,MINNESOTA,327.6448,549.6516,369.7460,557.3422,594.0000,387.3600,0
21d,ST,295.2681,35.1734,303.6111,42.8626,594.0000,387.3600,0
21d,"PAUL,",305.3983,35.1734,325.8519,42.8626,594.0000,387.3600,0
21d,MINNESOTA,327.6392,35.1734,369.7330,42.8626,594.0000,387.3600,0
21d,(21D),349.3100,25.2433,373.3260,33.8943,594.0000,387.3600,0
21d,AL-5455,172.4604,550.5748,198.0394,557.3035,594.0000,387.3600,0
21d,(FAA),199.7837,550.5748,218.3854,557.3035,594.0000,387.3600,0
21d,AIRPORT,18.0439,548.4369,69.5123,561.8943,594.0000,387.3600,0
21d,DIAGRAM,72.5200,548.4369,129.9919,561.8943,594.0000,387.3600,0
21d,AIRPORT,18.0439,29.6351,69.5123,43.0925,594.0000,387.3600,0
21d,DIAGRAM,72.5200,29.6351,129.9919,43.0925,594.0000,387.3600,0
21d,S-11,163.2408,98.8342,176.6978,105.0826,594.0000,387.3600,0
21d,RWY,145.4310,105.8596,160.7397,112.1080,594.0000,387.3600,0
21d,14-32,162.3802,105.8596,177.6889,112.1080,594.0000,387.3600,0
21d,S-13,163.2408,112.8851,176.6978,119.1335,594.0000,387.3600,0
21d,RWY,145.4310,119.9105,160.7397,126.1589,594.0000,387.3600,0
21d,04-22,162.3802,119.9105,177.6889,126.1589,594.0000,387.3600,0
21d,LAKE,303.8452,558.4563,323.5997,567.1073,594.0000,387.3600,0
21d,ELMO,325.4521,558.4563,346.4440,567.1073,594.0000,387.3600,0
21d,LAKE,303.8452,25.2433,323.5997,33.8943,594.0000,387.3600,0
21d,ELMO,325.4521,25.2433,346.4440,33.8943,594.0000,387.3600,0
21d,924,135.6328,206.3066,147.4035,212.5551,594.0000,387.3600,0
21d,ELEV,134.5122,213.8004,147.9447,220.0488,594.0000,387.3600,0
21d,925,134.7770,356.8115,146.5477,363.0599,594.0000,387.3600,0
21d,ELEV,133.6058,364.3053,147.0383,370.5537,594.0000,387.3600,0
21d,RAMP,111.1156,422.3352,128.6551,428.5836,594.0000,387.3600,0
21d,FBO,113.4711,429.8290,124.3407,436.0775,594.0000,387.3600,0
21d,ROSE,138.0154,296.7210,154.3959,302.9695,594.0000,387.3600,0
21d,COMPASS,131.2629,304.2148,160.9270,310.4633,594.0000,387.3600,0
21d,D,175.1516,205.9260,182.9407,213.5584,594.0000,387.3600,0
21d,981,77.2068,235.4430,88.9775,241.6915,594.0000,387.3600,0
21d,H,210.4371,401.5043,215.1210,407.7527,594.0000,387.3600,0
21d,H,151.2443,400.7344,155.9281,406.9828,594.0000,387.3600,0
21d,C,165.0018,383.8419,171.4656,388.8170,594.0000,387.3600,0
21d,G,183.9191,335.0191,191.6687,342.7279,594.0000,387.3600,0
21d,C,116.5469,325.3468,124.3472,333.2130,594.0000,387.3600,0
21d,B,95.2654,204.4459,103.0719,211.8810,594.0000,387.3600,0
21d,2496,236.2104,298.9304,250.7370,314.7428,594.0000,387.3600,0
21d,X,246.2963,311.2780,254.0989,318.8586,594.0000,387.3600,0
21d,75,249.6426,315.3748,259.6864,325.6991,594.0000,387.3600,0
21d,3504,234.5836,238.2317,249.5232,253.7529,594.0000,387.3600,0
21d,X,245.3343,234.3073,253.1068,241.9796,594.0000,387.3600,0
21d,75,248.9012,227.7841,259.0632,238.0734,594.0000,387.3600,0
21d,REIL,28.2579,112.1648,42.1149,118.4133,594.0000,387.3600,0
21d,Rwys,43.6740,112.1648,57.8802,118.4133,594.0000,387.3600,0
21d,32,59.4393,112.1648,65.6756,118.4133,594.0000,387.3600,1
21d,and,67.2346,112.1648,76.2398,118.4133,594.0000,387.3600,0
21d,14,77.7989,112.1648,84.0352,118.4133,594.0000,387.3600,1
21d,MIRL,28.2579,119.6586,43.4610,125.9070,594.0000,387.3600,0
21d,Rwy,44.9813,119.6586,56.4688,125.9070,594.0000,387.3600,0
21d,14-32L,57.9891,119.6586,76.3702,125.9070,594.0000,387.3600,0
21d,L,87.2285,113.1171,90.8316,117.9235,594.0000,387.3600,0
21d,123.075,21.6467,504.3801,45.8193,510.6285,594.0000,387.3600,0
21d,CTAF/UNICOM,21.6467,511.4056,63.2370,517.6541,594.0000,387.3600,0
21d,118.625,21.6467,518.4310,45.8193,524.6794,594.0000,387.3600,0
21d,CLNC,21.6467,525.4564,37.5593,531.7048,594.0000,387.3600,0
21d,DEL,39.0509,525.4564,50.6498,531.7048,594.0000,387.3600,0
21d,120.075,21.6467,532.4819,45.8193,538.7303,594.0000,387.3600,0
21d,AWOS-3,21.6467,539.5073,47.3383,545.7557,594.0000,387.3600,0
21d,L,47.6788,505.1126,51.2819,509.9191,594.0000,387.3600,0
21d,25107,18.0439,562.3491,36.9005,568.5975,594.0000,387.3600,0
21d,25107,18.0439,24.3083,36.9017,30.5568,594.0000,387.3600,0
21d,JANUARY,47.8950,387.7435,77.3628,393.9919,594.0000,387.3600,0
21d,2025,78.9417,387.7435,91.5726,393.9919,594.0000,387.3600,0
21d,ANNUAL,30.6856,380.2497,56.0935,386.4981,594.0000,387.3600,0
21d,RATE,57.5984,380.2497,73.3150,386.4981,594.0000,387.3600,0
21d,OF,74.8199,380.2497,82.5127,386.4981,594.0000,387.3600,0
21d,CHANGE,84.0176,380.2497,109.0944,386.4981,594.0000,387.3600,0
21d,0.0°,59.1939,372.7559,69.5958,379.0044,594.0000,387.3600,0
21d,W,71.1719,372.7559,77.1230,379.0044,594.0000,387.3600,0
21d,318.0°,325.1087,132.5544,343.6319,151.9999,594.0000,387.3600,0
21d,138.0°,134.8119,316.5222,153.3352,335.9676,594.0000,387.3600,0
21d,219.6°,269.6033,365.8610,287.4916,385.7891,594.0000,387.3600,0
21d,039.6°,167.9614,243.2732,185.8496,263.2013,594.0000,387.3600,0
21d,FIELD,333.8156,391.5402,350.6209,398.7491,594.0000,387.3600,0
21d,ELEV,334.7523,384.1184,350.2495,391.3273,594.0000,387.3600,0
21d,933,335.7644,376.3003,349.3444,383.5092,594.0000,387.3600,0
21d,P,323.1765,123.2073,330.3983,130.5084,594.0000,387.3600,0
21d,P,147.4686,340.4689,154.6911,347.7719,594.0000,387.3600,0
21d,VAR,50.0356,428.6868,57.5458,439.5951,594.0000,387.3600,0
21d,0.4°,53.0447,418.4236,60.6958,429.7913,594.0000,387.3600,0
